sql,estimate,actual,q-error
"SELECT * FROM cast_info ci WHERE ci.person_id=172968;
",489,838,1.713701431
"SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<3 AND t.production_year=2008 AND mi.info_type_id>2;
",187421,297013,1.584737036
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3194645;
",31275885,31427248,1.004839607
"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=1742124 AND ci.role_id>2 AND mi.info_type_id<7;
",521,12,43.41666667
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>0 AND ci.role_id=2 AND mi_idx.info_type_id=101;
",796060,733244,1.085668618
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2000 AND mc.company_id=160 AND mc.company_type_id=2;
",7106,515,13.79805825
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<77942 AND mc.company_type_id>1;
",610060,1141529,1.871174966
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id<71692;
",4344553,4344670,1.00002693
"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id>681261 AND ci.role_id>1 AND mi_idx.info_type_id=99;
",3456956,7987245,2.310485005
"SELECT * FROM movie_companies mc WHERE mc.company_id<9749 AND mc.company_type_id>1;
",600617,381253,1.575376456
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=43268 AND mk.keyword_id<2560;
",69,46,1.5
"SELECT * FROM cast_info ci WHERE ci.person_id>1278953 AND ci.role_id<2;
",8143384,3311512,2.459113541
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<1029;
",1039818,1038381,1.001383885
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND mc.company_id>83328 AND mi.info_type_id<8;
",435850,2706674,6.210104394
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=1994 AND mc.company_id>50785 AND mc.company_type_id>1;
",1197,3495,2.919799499
"SELECT * FROM movie_companies mc WHERE mc.company_id<80833 AND mc.company_type_id=1;
",1073432,1274246,1.187076592
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2945474 AND ci.role_id=2;
",5920257,7451973,1.258724579
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>2237;
",2994964,2990419,1.001519854
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>4 AND t.production_year<2004 AND mc.company_id<5363;
",313008,267611,1.169638019
"SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=2013 AND mc.company_id<239 AND mc.company_type_id<2;
",1629,3303,2.027624309
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id=62398;
",249,8,31.125
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id<213849 AND mc.company_type_id>1;
",1327815,1312009,1.012047173
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>284738;
",33327027,33316050,1.000329481
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<80578;
",4417983,4416021,1.000444291
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1978 AND mi.info_type_id=3;
",654141,1215398,1.858006149
"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<4 AND t.production_year=1966 AND mc.company_id<7563 AND mc.company_type_id=2 AND mi.info_type_id>6;
",3705,11017,2.973549258
"SELECT * FROM cast_info ci WHERE ci.person_id<1436321;
",14269830,14570665,1.021081891
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=2610477 AND ci.role_id<3;
",269,325,1.208178439
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id=43276 AND mc.company_type_id>1;
",53,143,2.698113208
"SELECT * FROM movie_companies mc WHERE mc.company_id>1127 AND mc.company_type_id=1;
",941934,789644,1.192859061
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<1996;
",876724,1214571,1.385351604
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year=2008 AND mi_idx.info_type_id=101;
",40143,136323,3.395934534
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>1 AND ci.person_id<2769705 AND ci.role_id<3;
",10802416,14469750,1.339492017
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>40491;
",233153,1011676,4.339107796
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year<2007 AND mk.keyword_id>19735;
",585807,714822,1.220234651
"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id=100 AND mk.keyword_id>430;
",721602,3056412,4.235592473
"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.role_id=4 AND mk.keyword_id=2830;
",271,5629,20.77121771
"SELECT * FROM movie_keyword mk WHERE mk.keyword_id>19819;
",948611,956615,1.0084376
"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>2011 AND mk.keyword_id=4755;
",9,2,4.5
"SELECT * FROM movie_companies mc WHERE mc.company_id<11393 AND mc.company_type_id>1;
",682469,435786,1.566064536
"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1965 AND mi.info_type_id<90;
",876729,2929788,3.341725892
"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>3 AND t.production_year<2011 AND mi.info_type_id<18;
",12553278,11216419,1.119187684
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>213;
",2237344,2235039,1.001031302
"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id=27 AND mc.company_type_id=1 AND ci.person_id<1265390;
",70478,96573,1.370257385
"SELECT * FROM movie_companies mc WHERE mc.company_id>868 AND mc.company_type_id=2;
",1008401,1152615,1.143012552
"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year<2006 AND ci.person_id>473664 AND ci.role_id=2;
",3699560,4172273,1.127775465
"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<4 AND t.production_year>1910 AND mc.company_id>1461 AND mc.company_type_id=2;
",313307,709850,2.265669136
"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=1995 AND mc.company_id>4436 AND mk.keyword_id>12216;
",9651,15207,1.575691638
